COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
10 Mile,Low,2020-06-30,1022,Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,12.0,Far Northern Contractors Pty Ltd  ( T & J Contractors ),Private Enterprise,Yes,Yes,No,-20.40628,134.75934
10 Mile Outstation,Low,2020-06-30,1004,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,2.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.466667,132.37658
16 Mile Camp,Low,2020-06-30,783,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,20.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.45764,133.83248
20 Mile,High,2020-06-30,24993,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-16.08535,136.54826
4 Mile Camp,Moderate,2020-06-30,1006,Family Outstation,No,ERA,Tiwi Islands Regional Council,Tiwi Land Council,8.0,Tiwi Islands Regional Council,Local Government Association,Yes,Yes,No,-11.77798,130.59548
5 Mile Bore,Low,2020-06-30,759,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,27.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.23265,131.98296
Acacia Larrakia,Moderate,2020-06-30,279,Family Outstation,Yes,Vernon Arafura,Litchfield Council,Northern Land Council,34.0,Yilli Rreung Housing Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.8142,131.1715
Adbanae,High,2020-06-30,979,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.24167,131.97531
Adelaide Bore,Low,2020-06-30,1,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,15.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.21485,133.93607
Adjamarragu,Moderate,2020-06-30,895,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.15182,132.47559
Akarnenehe Well,Moderate,2020-06-30,787,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.05992,136.19361
Akngwertnarre,Low,2020-06-30,3,Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,44.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.6928,133.8612
Akwalirrumanja,Moderate,2020-06-30,959,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,13.0,GEBIE Civil and Construction Pty Ltd,Private Enterprise,Yes,Yes,No,-13.86346,136.77866
Alamirra,Low,2020-06-30,280,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,2.0,Demed Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.06745,132.52835
Alatyeye,Moderate,2020-06-30,693,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,7.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-23.09733,134.21897
Alharrgan,Low,2020-06-30,441,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,9.0,Numbulwar Homelands Council Association Inc,Aboriginal Corporation,Yes,Yes,No,-13.67507,136.05261
Ali Curung,Moderate,2020-06-30,202,Major,No,Alice Springs,Barkly Regional Council,Central Land Council,580.0,Barkly Regional Council,Local Government Association,Yes,Yes,No,-21.003334,134.40694
Alice Well,Moderate,2020-06-30,852,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,2.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-24.88123,134.22962
Alkipi,Moderate,2020-06-30,4,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.27356,131.82924
Alkngarriintja,Low,2020-06-30,769,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,10.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.95602,132.46233
Alkuptija,Low,2020-06-30,714,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,24.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.06533,133.69436
Alpara,Moderate,2020-06-30,7,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.91526,131.21242
Alpurrurulam,High,2020-06-30,203,Major,No,Barkly,Barkly Regional Council,Central Land Council,494.0,Barkly Regional Council,Local Government Association,Yes,Yes,No,-20.984167,137.84749
Alyarpere,Moderate,2020-06-30,24991,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,Yes,No,-23.707758,134.493324
Alyingberrma,Moderate,2020-06-30,442,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.80934,136.81691
Alyuen,Low,2020-06-30,2,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,10.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.66949,133.35147
Amanbidji,High,2020-06-30,622,Major,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,83.0,Ngaliwurru-Wuli Association,Aboriginal Corporation,Yes,Yes,No,-16.428055,129.6189
Amanburnunga,High,2020-06-30,445,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.92641,136.69486
Amangal Indigenous Village,Moderate,2020-06-30,427,Town Camp,Yes,ERA,Coomalie Community Council,Northern Land Council,32.0,Yilli Rreung Housing Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-13.2445,131.1041
Amatjatpalk,Moderate,2020-06-30,282,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,Yes,No,-11.59488,133.45508
Amengernterneah,High,2020-06-30,104,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.89767,134.84166
Amirraba,High,2020-06-30,446,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.90868,136.85787
Amoonguna,Moderate,2020-06-30,9,Major,No,ERA,MacDonnell Regional Council,Central Land Council,281.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,Yes,-23.766319,133.935986
Ampilatwatja,High,2020-06-30,10,Major,No,Alice Springs,Barkly Regional Council,Central Land Council,491.0,Barkly Regional Council,Local Government Association,Yes,Yes,No,-21.65664,135.22509
Amputjuta,Moderate,2020-06-30,11,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-24.92956,129.12287
Amundurngua,Low,2020-06-30,761,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,8.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.27143,131.42343
Andanangki,Low,2020-06-30,449,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,12.0,Numbulwar Homelands Council Association Inc,Aboriginal Corporation,Yes,Yes,No,-13.60962,135.76503
Angas Downs,Moderate,2020-06-30,13,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.03447,132.27377
Angatyepe,Low,2020-06-30,916,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,16.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.745,133.7275
Angkerle Arrenge (A),Low,2020-06-30,917,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,10.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.74599,133.48008
Angkerle Arrenge (B),Low,2020-06-30,918,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,4.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.73894,133.47969
Angula,Moderate,2020-06-30,12,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,14.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.55781,134.21675
Angurugu,High,2020-06-30,451,Major,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,1005.0,East Arnhem Regional Council,Local Government Association,Yes,Yes,No,-13.982236,136.460569
Angwura,Moderate,2020-06-30,960,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,8.0,GEBIE Civil and Construction Pty Ltd,Private Enterprise,Yes,Yes,No,-13.91942,136.72609
Ankabadbirri,Moderate,2020-06-30,285,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,12.0,Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.25695,134.41973
Ankerrapw,High,2020-06-30,170,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.23004,134.56306
Ankweleyelengkwe,Moderate,2020-06-30,823,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.59675,133.75517
Annerre,High,2020-06-30,1021,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.261694,134.00116
Anningie,Moderate,2020-06-30,14,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.83473,133.14445
Antere,High,2020-06-30,788,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.66309,134.40934
Anthelk Ewlpaye,Low,2020-06-30,16,Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,68.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.689792,133.879319
Anthepe,Low,2020-06-30,17,Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,60.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.7575,133.8655
Aper Alwerrknge,Moderate,2020-06-30,19,Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,19.0,Tangentyere Council Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.668347,133.870847
Ararlagu,Moderate,2020-06-30,335,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.52722,133.39848
Araru Point,Moderate,2020-06-30,288,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,8.0,Demed Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.19364,131.87783
Arawerr,Moderate,2020-06-30,147,Minor,No,Alice Springs,Barkly Regional Council,Central Land Council,76.0,Urapuntja Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.01371,134.84618
Areyonga,Moderate,2020-06-30,20,Major,No,Alice Springs,MacDonnell Regional Council,Central Land Council,229.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,Yes,-24.073612,132.27083
Arkanta,Moderate,2020-06-30,1023,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,8.0,Ngurratjuta Pmara Ntjarra Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-24.52148,132.81995
Arlparra,Moderate,2020-06-30,168,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Urapuntja Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.08779,134.77476
Armorran,Low,2020-06-30,968,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,10.0,Demed Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.75575,133.38142
Armstrongs,Low,2020-06-30,79,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,8.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.87918,132.68001
Arrawajin,Moderate,2020-06-30,735,Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-20.51825,134.97551
Arrgamurrmur,Moderate,2020-06-30,893,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.17399,132.61015
Arrillhjere,Low,2020-06-30,919,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,3.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.77981,133.62608
Arrkapa,Low,2020-06-30,21,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,8.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.98248,132.82937
Arrunge,Moderate,2020-06-30,910,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,8.0,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.49935,132.28147
Artekerr,Moderate,2020-06-30,22,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,23.0,Urapuntja Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.29022,134.54312
Artekerre,Low,2020-06-30,712,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,24.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.257387,133.766604
Atheley,Moderate,2020-06-30,729,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Urapuntja Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-21.91757,134.86766
Atitjere,Moderate,2020-06-30,42,Major,No,Alice Springs,Central Desert Regional Council,Central Land Council,263.0,Central Deset Regional Council,Local Government Association,Yes,Yes,Yes,-22.9843,134.9341
Atji Creek,Low,2020-06-30,1015,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,8.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.399445,131.98389
Atnarara,Moderate,2020-06-30,146,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Urapuntja Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.02622,134.78721
Atnarpa,Moderate,2020-06-30,24995,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,Yes,No,-23.52358,134.78911
Atneltyey,Moderate,2020-06-30,27,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Urapuntja Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.03683,134.61166
Atnwengerrpe,Moderate,2020-06-30,23,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,60.0,Far Northern Contractors Pty Ltd  ( T & J Contractors ),Private Enterprise,Yes,Yes,No,-21.86956,134.99411
Awumbunyji,Moderate,2020-06-30,754,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.44723,135.43529
Babungi,Low,2020-06-30,1011,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,5.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-15.74444,136.97858
Badawarrka,Moderate,2020-06-30,577,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,7.0,Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-14.69603,134.44378
Baghetti,Low,2020-06-30,811,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,5.0,Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-13.75874,134.46372
