CUSTODIAN,BND_TYPE,SHORT_NAME,GAZ_NAME,GAZ_NO,GAZ_DATE,NOTES,SHAPE_Leng,SHAPE_Area
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Bathurst Island,Bathurst Island Emergency Response Area,G29,1990-07-25,<Null>,0.343224307046,0.00936774618187
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Casuarina,Greater Darwin Emergency Response Area,G20,2006-05-17,,0.424991969649,0.00810305070102
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Darwin and Berrimah,Greater Darwin Emergency Response Area,G20,2006-05-17,,0.543094220908,0.0059308549197
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Humpty Doo,Greater Darwin Emergency Response Area,G20,2006-05-17,,0.661057744897,0.0138340319757
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Katherine,Katherine Emergency Response Area,G46,2004-11-17,<Null>,0.583240611749,0.00902319081884
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Larrimah,Larrimah Emergency Response Area,G29,1990-07-25,<Null>,0.0378611755576,7.88775589846e-05
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Nhulunbuy,Nhulunbuy Emergency Response Area,G4,1990-01-31,<Null>,0.138836424513,0.000557535810387
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Palmerston,Greater Darwin Emergency Response Area,G20,2006-05-17,,1.429532641,0.0312453802263
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Tennant Creek,Tennant Creek Emergency Response Area,G37,1993-09-01,<Null>,0.406873199112,0.0100024708131
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Yirrkala,Yirrkala Emergency Response Area,G14,1994-04-06,<Null>,0.20572479517,0.00180643034604
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Alice Springs,Alice Springs Emergency Response Area,G18,1978-05-05,<Null>,0.765496853756,0.023582226741
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Mataranka,Mataranka Emergency Response Area,G29,1990-07-25,<Null>,0.198614701771,0.00136939502273
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Elliott,Elliott Emergency Response Area,G29,1990-07-25,<Null>,0.064791308453,0.000191964320755
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Nhulunbuy,Nhulunbuy Emergency Response Area,G4,1990-01-31,<Null>,0.0176389159592,1.68476462405e-05
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Pine Creek,Pine Creek Emergency Response Area,G29,1990-07-25,<Null>,0.140016885036,0.00104725123754
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Ti Tree,Ti Tree Emergency Response Area,G29,1990-07-25,<Null>,0.301358044926,0.00566884577378
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Borroloola,Borroloola Emergency Response Area,G6,1990-02-14,<Null>,0.134952146781,0.000993603455361
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Batchelor,Batchelor Emergency Response Area,G29,1990-07-25,<Null>,0.148747484194,0.000851307026717
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Adelaide River,Adelaide River Emergency Response Area,G29,1990-07-25,<Null>,0.12317431755,0.000711926305308
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Yulara,Yulara Emergency Response Area,G6,1990-02-14,<Null>,1.37264001772,0.0654458549067
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Jabiru,Jabiru Emergency Response Area,G29,1982-07-22,,0.1328441692,0.00110860734786
NTPFES - Northern Territory Fire and Rescue Service,Emergency Response Area,Timber Creek,Timber Creek Emergency Response Area,G1,2001-01-10,,0.0,0.0019919735022
