CUSTODIAN,BND_TYPE,SHORT_NAME,GAZ_NAME,GAZ_NO,GAZ_DATE,NOTES,SHAPE_Leng,SHAPE_Area,AREA_KM2
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Acacia Hills,Acacia Hills Volunteer Bushfire Brigade,G5,1986-02-05,,0.349692358944,0.0064847223649,77.9
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Alice Springs,Alice Springs Volunteer Bushfire Brigade,G25,1998-07-01,50km radius from Alice Springs Airport Control Tower,3.8484778641,0.732394645843,8266.08
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,B.A.R.T.,"Batchelor, Adelaide River, Tortilla Flats Volunteer Bushfire Brigade",G10,1985-03-13,,2.05864616605,0.131415374066,1576.74
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Marrakai,Marrakai Volunteer Bushfire Brigade,G7,2019-02-13,"Change from previous name Beatrice Hill and revokes G8, 26/02/1997.",1.40589827211,0.109281820818,1312.97
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Berry Springs,Berry Springs Volunteer Bushfire Brigade,G8,1988-02-24,Bnd does not match Darwin River VBB; ref SW corner of Berry Springs follows right bank of Blackmore River. (DR Dam follows Mira Rd),0.463844905145,0.0116845829013,140.39
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Daly River,Daly River Volunteer Bushfire Brigade,G13,1987-04-01,5km either side of Daly River as centre line,0.623181918946,0.022803837369,272.88
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Darwin River,Darwin River Dam Volunteer Bushfire Brigade,G8,1988-02-24,revokes 2 previous versions; overlap with Berry Springs; tiny error where old Section 728 and 729 no longer exists. (used a straight line instead),0.668247536784,0.0217075889538,260.68
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Dundee,Dundee Volunteer Bushfire Brigade,G50,1992-12-16,,1.0996215467,0.0450014909293,540.56
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Edith Farms,Edith Farms Volunteer Bushfire Brigade,G48,1999-12-08,,1.57613665988,0.0625329923291,746.49
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Elizabeth Valley,Elizabeth Valley Volunteer Bushfire Brigade,G38,1988-09-26,"refers to the boundary of the road, not the centre line.  Northern edge does NOT match Darwin NTFRS District (this uses road centreline)",0.20103465845,0.00250016573258,30.04
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Katherine,Katherine Volunteer Bushfire Brigade,G48,1981-12-04,50km radius from Katherine Post Office (exluding ERA),3.46000599103,0.649364610138,7746.09
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Labasheeda Park,Labasheeda Park Volunteer Bushfire Brigade,G21,1986-05-28,,0.296626165836,0.00438110091904,52.62
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Lambells Lagoon,Lambells Lagoon Volunteer Bushfire Brigade,G17,2001-05-02,,0.469612471941,0.0106712214739,128.28
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Livingstone,Livingstone Volunteer Bushfire Brigade,G34,1986-08-27,revokes 5 Feb 1986 G5,0.614641492785,0.0116612211296,140.1
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Manton,Manton River/Acacia Store Volunteer Bushfire Brigade,G21,1986-05-28,,0.226016691645,0.00224393567019,26.95
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Milne,Milne Volunteer Bushfire Brigade,G43,1999-11-03,,0.947174020642,0.0293466089476,352.48
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Point Stuart,Point Stuart Volunteer Bushfire Brigade,G4,1998-02-04,,4.98829215101,0.54597528564,6560.06
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Tennant Creek,Tennant Creek Volunteer Bushfire Brigade,G34,1999-09-01,50km radius from Tennant Creek Post Office (excluding ERA),3.32500710888,0.666897795019,7742.6
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Wagait,Wagait Volunteer Bushfire Brigade,G35,1988-08-31,Gazette name is Wagait; also locally known as Cox Peninsula,0.293979139225,0.00197174603161,23.71
"Bushfires NT, Department of Environment and Natural Resources",Volunteer Bushfire Brigade Area,Douglas Daly,Douglas/Daly Volunteer Bushfire Brigade,G2,1985-01-16,"(page 5) 50km radius from intersection Oolloo Rd, Hot Springs Rd.  (Revoked: G39. 3/10/1984 - was 30km radius)",2.95657860469,0.669014102727,8005.69
